a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.03	-296	64	178
a/g/m:	-0.02	0.00	1.00	0.02	-0.01	-0.03	-295	67	177
a/g/m:	-0.02	0.00	1.00	0.02	-0.01	-0.04	-298	62	178
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.03	-296	58	176
a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.03	-291	61	179
a/g/m:	-0.02	0.01	1.00	0.01	-0.01	-0.03	-296	56	178
a/g/m:	-0.02	0.01	1.01	0.01	-0.01	-0.03	-291	55	179
a/g/m:	-0.02	0.00	1.01	0.02	-0.01	-0.03	-296	62	172
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.04	-298	58	178
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.03	-294	58	178
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.03	-297	61	179
a/g/m:	-0.02	0.01	1.01	0.01	-0.01	-0.04	-295	55	181
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.04	-298	60	178
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.03	-296	62	176
a/g/m:	-0.02	0.00	1.01	0.01	-0.01	-0.03	-292	56	178
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.03	-293	59	173
a/g/m:	-0.01	0.00	1.00	0.02	-0.01	-0.04	-294	62	176
a/g/m:	-0.02	0.00	1.00	0.01	-0.02	-0.03	-300	58	176
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.03	-298	64	180
a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.03	-295	61	177
a/g/m:	-0.01	0.01	1.01	0.01	-0.01	-0.03	-293	59	175
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.03	-294	62	180
a/g/m:	-0.02	0.01	1.00	0.01	-0.01	-0.04	-299	61	177
a/g/m:	-0.02	0.00	1.01	0.02	-0.01	-0.03	-297	57	179
a/g/m:	-0.01	0.00	1.00	0.02	-0.01	-0.03	-296	56	178
a/g/m:	-0.02	0.00	1.01	0.01	-0.01	-0.03	-294	58	176
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.03	-299	63	177
a/g/m:	-0.01	0.01	1.01	0.01	-0.01	-0.04	-293	59	171
a/g/m:	-0.01	0.01	1.01	0.01	-0.01	-0.03	-300	58	178
a/g/m:	-0.01	0.01	1.01	0.01	-0.01	-0.03	-297	63	175
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.03	-292	58	180
a/g/m:	-0.02	0.00	1.01	0.02	-0.01	-0.03	-292	58	180
a/g/m:	-0.02	0.01	1.01	0.01	-0.02	-0.03	-296	62	176
a/g/m:	-0.02	0.01	1.01	0.01	-0.01	-0.03	-294	60	174
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.04	-301	57	181
a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.04	-300	62	176
a/g/m:	-0.01	0.00	1.01	0.01	-0.01	-0.03	-296	60	178
a/g/m:	-0.02	0.00	1.01	0.02	-0.01	-0.03	-292	62	178
a/g/m:	-0.02	0.00	1.01	0.01	-0.01	-0.04	-292	62	178
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.03	-295	61	179
a/g/m:	-0.03	0.01	1.00	0.02	-0.01	-0.03	-298	60	176
a/g/m:	-0.01	0.01	1.00	0.01	-0.01	-0.03	-293	53	177
a/g/m:	-0.02	0.01	1.01	0.02	-0.01	-0.04	-297	59	173
a/g/m:	-0.02	0.00	1.00	0.01	-0.01	-0.03	-295	59	173
a/g/m:	-0.01	-0.00	1.00	0.02	-0.01	-0.03	-295	63	183
a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.03	-297	57	175
a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.03	-294	64	184
a/g/m:	-0.01	0.00	1.00	0.02	-0.02	-0.03	-294	60	178
a/g/m:	-0.01	0.00	1.00	0.01	-0.01	-0.03	-293	57	183
a/g/m:	-0.02	0.00	1.01	0.01	-0.01	-0.03	-295	57	179
a/g/m:	-0.02	0.01	1.01	0.01	-0.01	-0.03	-297	63	179
a/g/m:	-0.02	0.01	1.00	0.01	-0.01	-0.03	-293	59	175
a/g/m:	-0.01	0.00	1.01	0.01	-0.01	-0.03	-292	58	176
a/g/m:	-0.02	0.00	1.00	0.01	-0.01	-0.04	-292	58	174
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.04	-291	63	175
a/g/m:	-0.02	0.01	1.00	0.02	-0.01	-0.04	-295	65	175
a/g/m:	-0.01	0.01	1.01	0.02	-0.01	-0.03	-298	62	178
a/g/m:	-0.01	0.00	1.01	0.01	-0.01	-0.03	-295	61	179
a/g/m:	-0.02	0.00	1.01	0.02	-0.01	-0.03	-294	58	182
a/g/m:	-0.02	0.00	1.00	0.01	-0.01	-0.03	-295	59	173
a/g/m:	-0.02	0.01	1.01	0.01	-0.01	-0.03	-297	59	179
a/g/m:	-0.01	0.01	1.00	0.02	-0.01	-0.03	-293	61	173
a/g/m:	-0.02	0.01	1.02	0.01	-0.01	-0.04	-296	60	176
a/g/m:	-0.01	0.01	1.00	0.01	-0.02	-0.04	-296	62	180
a/g/m:	-0.02	0.01	1.01	0.01	-0.01	-0.03	-294	64	176
